Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H,Cars Prices,Fuel Types,Seats,Torque
Ferrari,Sf90 Stradale,V8,3990.0,963.0,340.0,2.0,1100000.0,plug in hyrbrid,2,800.0
Rolls Royce,Phantom,V12,6749.0,563.0,250.0,5.0,460000.0,Petrol,5,900.0
Ford,Ka+,1.2L Petrol,1200.0,77.5,165.0,10.0,13500.0,Petrol,5,120.0
Mercedes,Gt 63 S,V8,3982.0,630.0,250.0,3.0,161000.0,Petrol,4,900.0
Audi,Audi R8 Gt,V10,5204.0,602.0,320.0,3.0,253290.0,Petrol,2,560.0
Bmw,Mclaren 720S,V8,3994.0,710.0,341.0,2.0,499000.0,Petrol,2,770.0
Aston Martin,Vantage F1,V8,3982.0,656.0,314.0,3.0,193440.0,Petrol,2,685.0
Bentley,Continental Gt Azure,V8,3996.0,550.0,318.0,4.0,311000.0,Petrol,4,900.0
Lamborghini,Veneno Roadster,V12,6498.0,750.0,356.0,2.0,4500000.0,Petrol,2,690.0
Ferrari,F8 Tributo,V8,3900.0,710.0,340.0,2.0,280000.0,Petrol,2,770.0
Ferrari,812 Gts,V12,6496.0,789.0,340.0,2.0,350000.0,Petrol,2,718.0
Ferrari,Portofino,V8,3900.0,592.0,320.0,3.0,210000.0,Petrol,2+2,760.0
Ferrari,Roma,V8,3900.0,612.0,320.0,3.0,230000.0,Petrol,2+2,760.0
Ferrari,Monza Sp2,V12,6496.0,789.0,340.0,2.0,1700000.0,Petrol,2,719.0
Ferrari,F8 Spider,V8,3900.0,710.0,340.0,2.0,280000.0,Petrol,2,770.0
Ferrari,Portofino M,V8,3900.0,612.0,320.0,3.0,220000.0,Petrol,2+2,760.0
Ferrari,Roma Spider,V8,3900.0,612.0,320.0,3.0,240000.0,Petrol,2+2,760.0
Toyota,Gr Supra,I4,2998.0,382.0,250.0,4.0,53900.0,Petrol,2,500.0
Toyota,Toyota 86,Boxer-4,1998.0,205.0,226.0,6.0,27000.0,Petrol,2+2,205.0
Toyota,Toyota  Gr86,Boxer-4,2387.0,228.0,226.0,5.0,30000.0,Petrol,4,250.0
Toyota,Toyota Land Cruiser,V8,5663.0,381.0,220.0,6.0,85000.0,Diesel,7,500.0
Toyota,Toyota Sequoia,V8,5663.0,381.0,200.0,6.0,50000.0,Petrol,7,651.0
Nissan,Gt-R,V6,3799.0,600.0,315.0,2.0,113000.0,Petrol,4,637.0
Nissan,370Z,V6,3696.0,332.0,250.0,4.0,30000.0,Petrol,2,366.0
Nissan,Z Proto,V6,2998.0,400.0,290.0,4.0,40000.0,Petrol,2,475.0
Nissan,Altima,I4,2488.0,188.0,225.0,7.0,25000.0,Petrol,5,380.0
Nissan,Maxima,V6,3498.0,300.0,240.0,5.0,35000.0,Petrol,5,354.0
Nissan,Sentra,I4,1998.0,149.0,200.0,8.0,20000.0,Petrol,5,240.0
Nissan,Rogue,I4,2488.0,201.0,200.0,7.0,28000.0,Petrol,5,270.0
Nissan,Pathfinder,V6,3498.0,284.0,225.0,6.0,35000.0,Petrol,7,351.0
Nissan,Frontier,V6,3799.0,310.0,180.0,6.0,30000.0,Petrol,5,381.0
Nissan,Titan,V8,5598.0,400.0,200.0,5.0,40000.0,Petrol,5,560.0
Aston Martin,Valkyrie,V12,6496.0,1160.0,402.0,2.0,3200000.0,Hybrid,2,900.0
Aston Martin,Valhalla,V8,3996.0,1000.0,362.0,2.0,1100000.0,Hybrid,2,1000.0
Aston Martin,Dbs Superleggera,V12,5204.0,715.0,340.0,3.0,316000.0,Petrol,2,900.0
Aston Martin,Db11,V12,5204.0,600.0,322.0,3.0,208000.0,Petrol,4,700.0
Aston Martin,Vantage,V8,3996.0,503.0,313.0,3.0,142000.0,Petrol,2,685.0
Aston Martin,Dbx,V8,3996.0,542.0,291.0,4.0,189000.0,Petrol,5,700.0
Aston Martin,Rapide Amr,V12,5935.0,580.0,328.0,4.0,240000.0,Petrol,4,630.0
Aston Martin,Vanquish,V12,5935.0,580.0,324.0,3.0,294000.0,Petrol,2,630.0
Aston Martin,Lagonda Taraf,V12,5935.0,540.0,314.0,4.0,1100000.0,Petrol,4,630.0
Aston Martin,Victor,V12,5204.0,836.0,320.0,2.0,1300000.0,Petrol,2,821.0
Lamborghini,Sian,V12,6498.0,819.0,350.0,2.0,2800000.0,Hybrid,2,720.0
Lamborghini,Aventador Svj,V12,6498.0,759.0,350.0,2.0,518000.0,Petrol,2,720.0
Lamborghini,Huracan Performante,V10,5204.0,640.0,325.0,2.0,274000.0,Petrol,2,600.0
Lamborghini,Huracan Evo,V10,5204.0,640.0,325.0,2.0,261000.0,Petrol,2,600.0
Lamborghini,Aventador Sv,V12,6498.0,740.0,350.0,2.0,493000.0,Petrol,2,690.0
Lamborghini,Urus,V8,3996.0,641.0,305.0,3.0,211000.0,Petrol,5,850.0
Lamborghini,Huracan Spyder,V10,5204.0,610.0,325.0,3.0,287000.0,Petrol,2,600.0
Lamborghini,Aventador Roadster,V12,6498.0,700.0,350.0,3.0,445000.0,Petrol,2,690.0
Lamborghini,Huracan  Performante Spyder,V10,5204.0,640.0,325.0,3.0,308000.0,Petrol,2,600.0
Lamborghini,Aventador S,V12,6498.0,740.0,350.0,2.0,421000.0,Petrol,2,690.0
Lamborghini,Huracan Evo Spyder,V10,5204.0,640.0,325.0,3.0,287000.0,Petrol,2,600.0
Lamborghini,Urus Performante,V8,3996.0,641.0,305.0,3.0,242000.0,Petrol,5,850.0
